"","method","k_mean","k_freq","ptime","k_orig","e_mean","e_freq","n","sample","sepVal","run","sampling_iteration","simulation_iteration"
"1","BIC_kluster",5,5,54.0899999999237,5,0,0,250000,100,0.1,"ajm7m",100,1
"2","pam_kluster",2,1,5.62599999998929,5,-3,-4,250000,100,0.1,"ajm7m",100,1
"3","cal_kluster",6,5,95.2210000000487,5,1,0,250000,100,0.1,"ajm7m",100,1
"4","ap_kluster",6,5,2.51200000003155,5,1,0,250000,100,0.1,"ajm7m",100,1
"5","BIC_kluster",5,5,159.891000000032,5,0,0,250000,200,0.1,"ajm7m",100,1
"6","pam_kluster",5,5,27.1490000000049,5,0,0,250000,200,0.1,"ajm7m",100,1
"7","cal_kluster",5,5,149.499000000083,5,0,0,250000,200,0.1,"ajm7m",100,1
"8","ap_kluster",8,8,9.04999999998836,5,3,3,250000,200,0.1,"ajm7m",100,1
"9","BIC_kluster",5,5,262.658999999927,5,0,0,250000,300,0.1,"ajm7m",100,1
"10","pam_kluster",5,5,67.9219999999768,5,0,0,250000,300,0.1,"ajm7m",100,1
"11","cal_kluster",5,5,206.128000000055,5,0,0,250000,300,0.1,"ajm7m",100,1
"12","ap_kluster",11,11,19.783000000054,5,6,6,250000,300,0.1,"ajm7m",100,1
"13","BIC_kluster",5,5,373.118000000002,5,0,0,250000,400,0.1,"ajm7m",100,1
"14","pam_kluster",5,5,141.853999999992,5,0,0,250000,400,0.1,"ajm7m",100,1
"15","cal_kluster",5,5,267.950999999986,5,0,0,250000,400,0.1,"ajm7m",100,1
"16","ap_kluster",13,13,34.1129999999539,5,8,8,250000,400,0.1,"ajm7m",100,1
"17","BIC_kluster",5,5,469.174999999959,5,0,0,250000,500,0.1,"ajm7m",100,1
"18","pam_kluster",5,5,242.732000000076,5,0,0,250000,500,0.1,"ajm7m",100,1
"19","cal_kluster",5,5,336.605999999912,5,0,0,250000,500,0.1,"ajm7m",100,1
"20","ap_kluster",14,14,55.4250000000029,5,9,9,250000,500,0.1,"ajm7m",100,1
"21","BIC_kluster",5,5,843.028999999937,5,0,0,250000,1000,0.1,"ajm7m",100,1
"22","pam_kluster",5,5,1302.79600000009,5,0,0,250000,1000,0.1,"ajm7m",100,1
"23","cal_kluster",5,5,724.548000000141,5,0,0,250000,1000,0.1,"ajm7m",100,1
"24","ap_kluster",21,21,278.078999999852,5,16,16,250000,1000,0.1,"ajm7m",100,1
